"","FTA","2PA","3PA"
"1",2.8,6.8,2
"2",12,12,2.4
"3",2,8.5,3.6
"4",2.6,13.1,0
"5",4.8,16.4,0.3
"6",3.1,9.5,0.9
"7",2.4,5.7,5.4
"8",3.1,5.2,0.9
"9",4,5,5
"10",3.2,5.2,1.3
"11",2.8,4.1,6.9
"12",1.4,4.6,4.3
"13",3.1,5.1,4.6
"14",2.4,7.5,1.1
"15",4.1,10.2,6.4
"16",5.2,11.5,1.4
"17",5.7,14.2,4.4
"18",2.7,6.7,4
"19",2,4.5,6.3
"20",1.3,8.8,2.8
"21",5.1,6.7,5.8
"22",2.4,4.2,4.2
"23",3.9,5.6,5.1
"24",2,7.4,0.3
"25",2.1,7.7,4.6
"26",2.8,12.2,1.7
"27",2.1,8.7,3.7
"28",2.1,9.7,5.6
"29",3.2,14.9,0.9
"30",2.4,7.4,3.8
"31",2.3,5.3,6.1
"32",4.1,10.1,5
"33",4,8.5,0.1
"34",2.8,7,5.9
"35",2.2,4.9,5.5
"36",4.8,11.2,0.1
"37",2.6,7.3,5.3
"38",3.7,11.1,5.7
"39",4.9,19.4,0.9
"40",3,7.3,6.4
"41",4.3,5.6,6
"42",1.6,5,5.5
"43",4.5,5.7,0
"44",1.8,3.7,4.2
"45",2.1,11.1,0.2
"46",0.7,3.2,5.5
"47",5.8,12.3,4.4
"48",2.2,7,5.8
"49",1.2,6.9,0
"50",0.7,4,5.9
"51",4.4,9.9,4.9
"52",2.3,7.7,0.9
"53",5.4,11,4.5
"54",1.7,8.7,5.8
"55",1.4,11.4,0.2
"56",3,7.1,4.8
"57",2.1,9.2,6
"58",1.2,3.4,4.2
"59",2.4,10,4.7
"60",3.4,7.4,4.4
"61",5.4,12.5,9
"62",1.4,5,3.1
"63",2.4,6.2,3.4
"64",2.2,5.9,3.3
"65",1.3,3.8,4.4
"66",2.2,10,6.7
"67",6.4,11.5,3.6
"68",2.5,8.4,3.7
"69",6.9,12.1,3
"70",1.3,4.6,4.1
"71",0.9,4.5,3.6
"72",2.9,7.6,4.8
"73",3.3,4.3,8.9
"74",5.2,9.7,0
"75",2.3,7,5.4
"76",3,6.2,6.1
"77",3.5,10.9,1.2
"78",3,6.7,5.2
"79",3.2,8.6,0.1
"80",7.2,7.9,4
"81",3.9,6.3,3.3
"82",6.9,7.7,3.9
"83",3.8,7,0
"84",2.1,7.3,5.2
"85",2.9,11,4.5
"86",2,11.5,3.1
"87",3.7,9.1,3.5
"88",1.7,5.5,0.1
"89",4.7,9.8,4.4
"90",1.3,7,5.3
"91",1.6,3.5,8.3
"92",10.6,18,3.4
"93",3.3,4.4,9.1
"94",1.9,6.7,4.9
"95",4.6,10.1,5.8
"96",3.7,7,5.7
"97",1.5,4.3,3.2
"98",4.6,4.6,4.6
"99",4.9,6,3.2
"100",4.8,5.8,3.4
"101",2.8,5.9,5.8
"102",5.3,9.5,11.8
"103",0.7,4.9,9.2
"104",7.2,17.1,1.8
"105",2.7,4.8,4.1
"106",1.3,5.2,4.6
"107",2.9,7.4,3.8
